Date,Signal,DayReturn,TradeCost,PnL,Equity,Regime
2017-08-07,0,0.0513388560483818,0.0,0.0,1.0,1|0
2017-08-08,0,0.0121339830571054,0.0,0.0,1.0,1|0
2017-08-09,1,-0.0226524360165429,0.001,-0.0236524360165429,0.9763475639834571,1|0
2017-08-10,0,0.0116111914045367,0.001,-0.001,0.9753712164194737,1|0
2017-08-11,0,0.0796562501647144,0.0,0.0,0.9753712164194737,1|0
2017-08-12,0,0.0641233095297646,0.0,0.0,0.9753712164194737,1|0
2017-08-13,0,0.0485364546450264,0.0,0.0,0.9753712164194737,1|0
2017-08-14,0,0.0618349608036359,0.0,0.0,0.9753712164194737,1|0
2017-08-15,1,-0.0331087645715119,0.001,-0.0341087645715119,0.9421025092287927,1|0
2017-08-16,0,0.0465573787335837,0.001,-0.001,0.9411604067195639,1|0
2017-08-17,1,-0.0102681612586739,0.001,-0.0112681612586739,0.9305552594863687,1|0
2017-08-18,0,-0.0394926290969047,0.001,-0.001,0.9296247042268824,1|0
2017-08-19,0,0.0079507566644563,0.0,0.0,0.9296247042268824,1|0
2017-08-20,1,-0.0252856137216607,0.001,-0.0262856137216607,0.9051889483454615,1|0
2017-08-21,0,-0.0210193420495841,0.001,-0.001,0.904283759397116,1|0
2017-08-22,0,0.0246842697271518,0.0,0.0,0.904283759397116,1|0
2017-08-23,0,0.0124374468987058,0.0,0.0,0.904283759397116,1|0
2017-08-24,0,0.044118818020461,0.0,0.0,0.904283759397116,1|0
2017-08-25,0,0.0085173347000959,0.0,0.0,0.904283759397116,1|0
2017-08-26,0,-0.0043920292075192,0.0,-0.0,0.904283759397116,1|0
2017-08-27,0,0.0070030284791471,0.0,0.0,0.904283759397116,1|0
2017-08-28,0,-5.01329190794042e-05,0.0,-0.0,0.904283759397116,1|0
2017-08-29,0,0.0448038077972408,0.0,0.0,0.904283759397116,1|0
2017-08-30,0,-0.0029963212183454,0.0,-0.0,0.904283759397116,1|0
2017-08-31,0,0.0302478123976575,0.0,0.0,0.904283759397116,1|0
2017-09-01,0,0.0401029094809128,0.0,0.0,0.904283759397116,1|0
2017-09-02,0,-0.0640308914129346,0.0,-0.0,0.904283759397116,1|0
2017-09-03,1,0.0009150801172317,0.001,-8.49198827683e-05,0.9042069677262787,1|0
2017-09-04,0,-0.075638867740149,0.001,-0.001,0.9033027607585524,1|0
2017-09-05,0,0.033099495698633,0.0,0.0,0.9033027607585524,1|0
2017-09-06,0,0.0504030231393419,0.0,0.0,0.9033027607585524,1|0
2017-09-07,1,0.0006003248892021,0.001,-0.0003996751107979,0.9029417331275622,1|0
2017-09-08,0,-0.0806825161237863,0.001,-0.001,0.9020387913944347,1|0
2017-09-09,1,-0.0006361079293526,0.001,-0.0016361079293526,0.9005629585752506,1|0
2017-09-10,1,-0.0244010060807829,0.0,-0.0244010060807829,0.8785883163469281,1|0
2017-09-11,0,0.009296783040678,0.001,-0.001,0.8777097280305812,1|0
2017-09-12,1,-0.0073198712879802,0.001,-0.0083198712879802,0.8704072960651587,1|0
2017-09-13,0,-0.0600899017825153,0.001,-0.001,0.8695368887690935,1|0
2017-09-14,1,-0.1874110117851947,0.001,-0.1884110117851947,0.7057065637715583,3|0
2017-09-15,1,0.1529564892717645,0.0,0.1529564892717645,0.8136489622220965,3|0
2017-09-16,1,-0.0034309035831391,0.0,-0.0034309035831391,0.8108574110821912,3|0
2017-09-17,0,-0.0116302594718108,0.001,-0.001,0.810046553671109,3|0
2017-09-18,0,0.1346179844524293,0.0,0.0,0.810046553671109,3|0
2017-09-19,1,-0.0344952233969022,0.001,-0.0354952233969022,0.7812937702866624,3|0
2017-09-20,0,-0.0048459019236375,0.001,-0.001,0.7805124765163757,1|0
2017-09-21,0,-0.0703823437437788,0.0,-0.0,0.7805124765163757,1|0
2017-09-22,0,-9.366128904286786e-05,0.0,-0.0,0.7805124765163757,1|0
2017-09-23,0,0.0445368533193395,0.0,0.0,0.7805124765163757,1|0
2017-09-24,0,-0.0288893094806313,0.0,-0.0,0.7805124765163757,1|0
2017-09-25,0,0.0660441329691461,0.0,0.0,0.7805124765163757,1|0
2017-09-26,0,-0.0085887338014871,0.0,-0.0,0.7805124765163757,1|0
2017-09-27,0,0.0792117400755914,0.0,0.0,0.7805124765163757,1|0
2017-09-28,1,-0.0061751915500829,0.001,-0.0071751915500829,0.774912149990141,1|0
2017-09-29,0,-0.0027930324367207,0.001,-0.001,0.7741372378401509,1|0
2017-09-30,0,0.0421900530461822,0.0,0.0,0.7741372378401509,1|0
2017-10-01,0,0.0149883891808819,0.0,0.0,0.7741372378401509,1|0
2017-10-02,0,0.0012670115735247,0.0,0.0,0.7741372378401509,1|0
2017-10-03,1,-0.020828573886965,0.001,-0.021828573886965002,0.7572389259453062,1|0
2017-10-04,1,-0.0204100812478886,0.0,-0.0204100812478886,0.7417836179426986,1|0
2017-10-05,1,0.0234196890713158,0.0,0.0234196890713158,0.7591559596331124,1|0
2017-10-06,1,0.0097957219425073,0.0,0.0097957219425073,0.7665924403246758,1|0
2017-10-07,1,0.0128305914403068,0.0,0.0128305914403068,0.7764282747277095,1|0
2017-10-08,0,0.0414715156870999,0.001,-0.001,0.7756518464529818,1|0
2017-10-09,0,0.0350375752084006,0.0,0.0,0.7756518464529818,1|0
2017-10-10,0,0.002089307002683,0.0,0.0,0.7756518464529818,1|0
2017-10-11,0,0.009303604548152,0.0,0.0,0.7756518464529818,1|0
2017-10-12,0,0.1285471354469378,0.0,0.0,0.7756518464529818,1|0
2017-10-13,0,0.0367731060255636,0.0,0.0,0.7756518464529818,1|0
2017-10-14,0,0.0326851807178703,0.0,0.0,0.7756518464529818,1|0
2017-10-15,0,-0.02633841352782,0.0,-0.0,0.7756518464529818,1|0
2017-10-16,0,0.0083477134144638,0.0,0.0,0.7756518464529818,1|0
2017-10-17,0,-0.0209725253470746,0.0,-0.0,0.7756518464529818,1|0
2017-10-18,0,-0.0026437959861618,0.0,-0.0,0.7756518464529818,1|0
2017-10-19,0,0.0210761246572299,0.0,0.0,0.7756518464529818,1|0
2017-10-20,0,0.0530663245017619,0.0,0.0,0.7756518464529818,1|0
2017-10-21,0,0.003351920366813,0.0,0.0,0.7756518464529818,1|0
2017-10-22,0,-0.0038431221244686,0.0,-0.0,0.7756518464529818,1|0
2017-10-23,0,-0.0129984419650679,0.0,-0.0,0.7756518464529818,1|0
2017-10-24,1,-0.0680704750275723,0.001,-0.0690704750275723,0.7220772049624608,1|0
2017-10-25,0,0.0405598451180932,0.001,-0.001,0.7213551277574983,1|0
2017-10-26,0,0.0267841480609269,0.0,0.0,0.7213551277574983,1|0
2017-10-27,1,-0.0209879326147522,0.001,-0.021987932614752202,0.7054940198170605,1|0
2017-10-28,0,-0.0048106798359326,0.001,-0.001,0.7047885257972435,1|0
2017-10-29,0,0.0696600026751927,0.0,0.0,0.7047885257972435,1|0
2017-10-30,0,-0.0037895483526454,0.0,-0.0,0.7047885257972435,1|0
2017-10-31,0,0.0551127111404921,0.0,0.0,0.7047885257972435,1|0
2017-11-01,0,0.0462108343273106,0.0,0.0,0.7047885257972435,1|0
2017-11-02,0,0.0459842889880703,0.0,0.0,0.7047885257972435,1|0
2017-11-03,0,0.018260897877375,0.0,0.0,0.7047885257972435,1|0
2017-11-04,0,0.0238895905644225,0.0,0.0,0.7047885257972435,1|0
2017-11-05,0,0.0037208870264384,0.0,0.0,0.7047885257972435,1|0
2017-11-06,0,-0.0519277834642991,0.0,-0.0,0.7047885257972435,1|0
2017-11-07,0,0.0173179948120689,0.0,0.0,0.7047885257972435,1|0
2017-11-08,0,0.0441339995584926,0.0,0.0,0.7047885257972435,1|0
2017-11-09,0,-0.0423757375660655,0.0,-0.0,0.7047885257972435,1|0
2017-11-10,1,-0.0735541473126685,0.001,-0.0745541473126685,0.6522436182206773,1|0
2017-11-11,0,-0.0393675615324269,0.001,-0.001,0.6515913746024566,3|0
2017-11-12,0,-0.0641012751946662,0.0,-0.0,0.6515913746024566,3|0
2017-11-13,0,0.1024223964020905,0.0,0.0,0.6515913746024566,3|0
2017-11-14,0,0.0116258676970599,0.0,0.0,0.6515913746024566,3|0
2017-11-15,0,0.1024435879987191,0.0,0.0,0.6515913746024566,3|0
2017-11-16,0,0.0760230822843013,0.0,0.0,0.6515913746024566,3|0
2017-11-17,1,-0.0206689679398353,0.001,-0.0216689679398353,0.6374720619963228,3|0
2017-11-18,0,0.0105279246050737,0.001,-0.001,0.6368345899343265,1|0
2017-11-19,1,0.0316220271906624,0.001,0.0306220271906624,0.6563357560632498,1|0
2017-11-20,1,0.0204255103005503,0.0,0.0204255103005503,0.6697417488093392,1|0
2017-11-21,0,-0.0157768038054386,0.001,-0.001,0.6690720070605299,1|0
2017-11-22,1,0.0225850789537045,0.001,0.021585078953704498,0.683513979158645,1|0
2017-11-23,0,-0.0260227163146539,0.001,-0.001,0.6828304651794863,1|0
2017-11-24,1,0.0267354843631641,0.001,0.0257354843631641,0.700403437938805,1|0
2017-11-25,1,0.0650896101282345,0.0,0.0650896101282345,0.7459924246467169,1|0
2017-11-26,0,0.0613849162099298,0.001,-0.001,0.7452464322220702,1|0
2017-11-27,0,0.0522798564820303,0.0,0.0,0.7452464322220702,1|0
2017-11-28,0,0.0244898791425096,0.0,0.0,0.7452464322220702,1|0
2017-11-29,0,-0.0169194592227285,0.0,-0.0,0.7452464322220702,1|0
2017-11-30,0,0.0348875368274561,0.0,0.0,0.7452464322220702,1|0
2017-12-01,0,0.0725062566763168,0.0,0.0,0.7452464322220702,1|0
2017-12-02,0,0.0090200083388098,0.0,0.0,0.7452464322220702,1|0
2017-12-03,1,0.0224478170503836,0.001,0.021447817050383598,0.7612303413578202,1|0
2017-12-04,0,0.029496961480754,0.001,-0.001,0.7604691110164624,1|0
2017-12-05,1,0.0222609199166321,0.001,0.0212609199166321,0.7766373838848558,1|0
2017-12-06,0,0.1992833389919166,0.001,-0.001,0.7758607465009709,1|0
