2025-12-07 13:31:38 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1559, retrain forced=True, regime_changed=True
2025-12-07 13:31:38 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1561, retrain forced=True, regime_changed=True
2025-12-07 13:31:38 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1698, retrain forced=True, regime_changed=True
2025-12-07 13:31:39 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1710, retrain forced=True, regime_changed=True
2025-12-07 13:31:39 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1780, retrain forced=True, regime_changed=True
2025-12-07 13:31:39 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1781, retrain forced=True, regime_changed=True
2025-12-07 13:31:39 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1789, retrain forced=True, regime_changed=True
2025-12-07 13:31:39 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1790, retrain forced=True, regime_changed=True
2025-12-07 13:31:39 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1800, retrain forced=True, regime_changed=True
2025-12-07 13:31:39 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1801, retrain forced=True, regime_changed=True
2025-12-07 13:31:40 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1802, retrain forced=True, regime_changed=True
2025-12-07 13:31:40 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1803, retrain forced=True, regime_changed=True
2025-12-07 13:31:40 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1814, retrain forced=True, regime_changed=True
2025-12-07 13:31:40 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1815, retrain forced=True, regime_changed=True
2025-12-07 13:31:40 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1834, retrain forced=True, regime_changed=True
2025-12-07 13:31:40 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1836, retrain forced=True, regime_changed=True
2025-12-07 13:31:40 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1840, retrain forced=True, regime_changed=True
2025-12-07 13:31:40 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1842, retrain forced=True, regime_changed=True
2025-12-07 13:31:40 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1844, retrain forced=True, regime_changed=True
2025-12-07 13:31:41 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1845, retrain forced=True, regime_changed=True
2025-12-07 13:31:41 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1850, retrain forced=True, regime_changed=True
2025-12-07 13:31:41 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1851, retrain forced=True, regime_changed=True
2025-12-07 13:31:41 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1856, retrain forced=True, regime_changed=True
2025-12-07 13:31:41 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1858, retrain forced=True, regime_changed=True
2025-12-07 13:31:41 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1864, retrain forced=True, regime_changed=True
2025-12-07 13:31:41 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1865, retrain forced=True, regime_changed=True
2025-12-07 13:31:41 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1871, retrain forced=True, regime_changed=True
2025-12-07 13:31:41 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1876, retrain forced=True, regime_changed=True
2025-12-07 13:31:42 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1884, retrain forced=True, regime_changed=True
2025-12-07 13:31:42 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1885, retrain forced=True, regime_changed=True
2025-12-07 13:31:42 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1891, retrain forced=True, regime_changed=True
2025-12-07 13:31:42 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1892, retrain forced=True, regime_changed=True
2025-12-07 13:31:42 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1893, retrain forced=True, regime_changed=True
2025-12-07 13:31:42 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1895, retrain forced=True, regime_changed=True
2025-12-07 13:31:42 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1921, retrain forced=True, regime_changed=True
2025-12-07 13:31:42 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1922, retrain forced=True, regime_changed=True
2025-12-07 13:31:42 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1927, retrain forced=True, regime_changed=True
2025-12-07 13:31:43 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1929, retrain forced=True, regime_changed=True
2025-12-07 13:31:43 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1936, retrain forced=True, regime_changed=True
2025-12-07 13:31:43 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 1937, retrain forced=True, regime_changed=True
2025-12-07 13:31:43 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2013, retrain forced=True, regime_changed=True
2025-12-07 13:31:43 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2015, retrain forced=True, regime_changed=True
2025-12-07 13:31:43 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2031, retrain forced=True, regime_changed=True
2025-12-07 13:31:43 | INFO | walk_forward_engine_hybrid_BTC | Trained new global model at idx 2032, retrain forced=True, regime_changed=True
