2025-12-04 21:32:08 | INFO | walk_forward_engine | Trained new global model at idx 2980, retrain forced=True, regime_changed=True
2025-12-04 21:32:08 | INFO | walk_forward_engine | Trained new global model at idx 3227, retrain forced=True, regime_changed=True
2025-12-04 21:32:09 | INFO | walk_forward_engine | Trained new global model at idx 3280, retrain forced=True, regime_changed=True
2025-12-04 21:32:09 | INFO | walk_forward_engine | Trained new global model at idx 3613, retrain forced=True, regime_changed=True
2025-12-04 21:32:09 | INFO | walk_forward_engine | Trained new global model at idx 3625, retrain forced=True, regime_changed=True
2025-12-04 21:32:09 | INFO | walk_forward_engine | Trained new global model at idx 3716, retrain forced=True, regime_changed=True
2025-12-04 21:32:09 | INFO | walk_forward_engine | Saved signals to results\signals_SPY.csv
2025-12-04 21:32:09 | INFO | walk_forward_engine | Saved equity curve to results\equity_curve_SPY.csv
2025-12-04 21:32:09 | INFO | walk_forward_engine | Saved backtest log to results\backtest_log_SPY.json
2025-12-04 21:32:09 | INFO | walk_forward_engine | ===== WALK-FORWARD BACKTEST ENGINE FINISHED =====
2025-12-04 21:48:16 | INFO | walk_forward_engine | ===== WALK-FORWARD BACKTEST ENGINE STARTED =====
2025-12-04 21:48:16 | INFO | walk_forward_engine | Loaded features: (3725, 62)
2025-12-04 21:48:16 | INFO | walk_forward_engine | Detected 9 feature columns for SPY
2025-12-04 21:48:16 | INFO | walk_forward_engine | Starting walk-forward. total samples: 3725
2025-12-04 21:48:16 | INFO | walk_forward_engine | Trained new global model at idx 749, retrain forced=False, regime_changed=False
2025-12-04 21:48:16 | INFO | walk_forward_engine | Trained new global model at idx 1149, retrain forced=True, regime_changed=True
2025-12-04 21:48:16 | INFO | walk_forward_engine | Trained new global model at idx 1154, retrain forced=True, regime_changed=True
2025-12-04 21:48:16 | INFO | walk_forward_engine | Trained new global model at idx 1194, retrain forced=True, regime_changed=True
2025-12-04 21:48:16 | INFO | walk_forward_engine | Trained new global model at idx 1201, retrain forced=True, regime_changed=True
2025-12-04 21:48:17 | INFO | walk_forward_engine | Trained new global model at idx 1368, retrain forced=True, regime_changed=True
2025-12-04 21:48:17 | INFO | walk_forward_engine | Trained new global model at idx 1400, retrain forced=True, regime_changed=True
